1, 4.59653, 0.1
2, 1.43198, 0.1
4, 0.375673, 0.1
8, 0.095023, 0.1
1, 4.59653, 0.01
2, 1.43198, 0.01
4, 0.375673, 0.01
8, 0.095023, 0.01
16, 0.0238248, 0.01
32, 0.00596052, 0.01
1, 4.59653, 0.001
2, 1.43198, 0.001
4, 0.375673, 0.001
8, 0.095023, 0.001
16, 0.0238248, 0.001
32, 0.00596052, 0.001
64, 0.0014904, 0.001
128, 0.000372617, 0.001
1, 4.59653, 0.0001
2, 1.43198, 0.0001
4, 0.375673, 0.0001
8, 0.095023, 0.0001
16, 0.0238248, 0.0001
32, 0.00596052, 0.0001
64, 0.0014904, 0.0001
128, 0.000372617, 0.0001
256, 9.31553e-05, 0.0001
1, 4.59653, 1e-05
2, 1.43198, 1e-05
4, 0.375673, 1e-05
8, 0.095023, 1e-05
16, 0.0238248, 1e-05
32, 0.00596052, 1e-05
64, 0.0014904, 1e-05
128, 0.000372617, 1e-05
256, 9.31553e-05, 1e-05
512, 2.32889e-05, 1e-05
1024, 5.82222e-06, 1e-05
1, 4.59653, 1e-06
2, 1.43198, 1e-06
4, 0.375673, 1e-06
8, 0.095023, 1e-06
16, 0.0238248, 1e-06
32, 0.00596052, 1e-06
64, 0.0014904, 1e-06
128, 0.000372617, 1e-06
256, 9.31553e-05, 1e-06
512, 2.32889e-05, 1e-06
1024, 5.82222e-06, 1e-06
2048, 1.45556e-06, 1e-06
4096, 3.63889e-07, 1e-06
1, 4.59653, 1e-07
2, 1.43198, 1e-07
4, 0.375673, 1e-07
8, 0.095023, 1e-07
16, 0.0238248, 1e-07
32, 0.00596052, 1e-07
64, 0.0014904, 1e-07
128, 0.000372617, 1e-07
256, 9.31553e-05, 1e-07
512, 2.32889e-05, 1e-07
1024, 5.82222e-06, 1e-07
2048, 1.45556e-06, 1e-07
4096, 3.63889e-07, 1e-07
8192, 9.0973e-08, 1e-07
1, 4.59653, 1e-08
2, 1.43198, 1e-08
4, 0.375673, 1e-08
8, 0.095023, 1e-08
16, 0.0238248, 1e-08
32, 0.00596052, 1e-08
64, 0.0014904, 1e-08
128, 0.000372617, 1e-08
256, 9.31553e-05, 1e-08
512, 2.32889e-05, 1e-08
1024, 5.82222e-06, 1e-08
2048, 1.45556e-06, 1e-08
4096, 3.63889e-07, 1e-08
8192, 9.0973e-08, 1e-08
16384, 2.27416e-08, 1e-08
32768, 5.68286e-09, 1e-08
1, 4.59653, 1e-09
2, 1.43198, 1e-09
4, 0.375673, 1e-09
8, 0.095023, 1e-09
16, 0.0238248, 1e-09
32, 0.00596052, 1e-09
64, 0.0014904, 1e-09
128, 0.000372617, 1e-09
256, 9.31553e-05, 1e-09
512, 2.32889e-05, 1e-09
1024, 5.82222e-06, 1e-09
2048, 1.45556e-06, 1e-09
4096, 3.63889e-07, 1e-09
8192, 9.0973e-08, 1e-09
16384, 2.27416e-08, 1e-09
32768, 5.68286e-09, 1e-09
65536, 1.42721e-09, 1e-09
131072, 3.66939e-10, 1e-09
